provider,category,dsl,isDecorator,resourceType,tagName,subType,iconPath,typeURI,docURI
Google Cloud Platform,Developer Tools,gcp_Cloud_Tools_for_PowerShell,false,cloud,terminal,gcp_Cloud_Tools_for_PowerShell,icons/GCP Icons/Products and services/Developer Tools/Cloud Tools for PowerShell.svg,,
Google Cloud Platform,Developer Tools,gcp_Cloud_Tools_for_Visual_Studio,false,cloud,terminal,gcp_Cloud_Tools_for_Visual_Studio,icons/GCP Icons/Products and services/Developer Tools/Cloud Tools for Visual Studio.svg,,
Azure,IoT,az_Event_Hubs,false,cloud,terminal,az_Event_Hubs,icons/Azure_Public_Service_Icons/IoT/00039-icon-service-Event-Hubs.svg,,
Azure,IoT,az_Stream_Analytics_Jobs,false,cloud,terminal,az_Stream_Analytics_Jobs,icons/Azure_Public_Service_Icons/IoT/00042-icon-service-Stream-Analytics-Jobs.svg,,
Google Cloud Platform,Developer Tools,gcp_Container_Registry,false,cloud,terminal,gcp_Container_Registry,icons/GCP Icons/Products and services/Developer Tools/Container Registry.svg,,
Azure,IoT,az_Notification_Hub_Namespaces,false,cloud,terminal,az_Notification_Hub_Namespaces,icons/Azure_Public_Service_Icons/IoT/00053-icon-service-Notification-Hub-Namespaces.svg,,
Azure,IoT,az_Notification_Hubs,false,cloud,terminal,az_Notification_Hubs,icons/Azure_Public_Service_Icons/IoT/00057-icon-service-Notification-Hubs.svg,,
Google Cloud Platform,Developer Tools,gcp_Gradle_App_Engine_Plugin,false,cloud,terminal,gcp_Gradle_App_Engine_Plugin,icons/GCP Icons/Products and services/Developer Tools/Gradle App Engine Plugin.svg,,
Azure,IoT,az_Function_Apps,false,cloud,terminal,az_Function_Apps,icons/Azure_Public_Service_Icons/IoT/10029-icon-service-Function-Apps.svg,,
Azure,IoT,az_Notification_Hubs,false,cloud,terminal,az_Notification_Hubs,icons/Azure_Public_Service_Icons/IoT/10045-icon-service-Notification-Hubs.svg,,
Google Cloud Platform,Developer Tools,gcp_IDE_Plugins,false,cloud,terminal,gcp_IDE_Plugins,icons/GCP Icons/Products and services/Developer Tools/IDE Plugins.svg,,
Azure,IoT,az_Event_Grid_Subscriptions,false,cloud,terminal,az_Event_Grid_Subscriptions,icons/Azure_Public_Service_Icons/IoT/10183-icon-service-Event-Grid-Subscriptions.svg,,
Azure,IoT,az_IoT_Central_Applications,false,cloud,terminal,az_IoT_Central_Applications,icons/Azure_Public_Service_Icons/IoT/10184-icon-service-IoT-Central-Applications.svg,,
Google Cloud Platform,Developer Tools,gcp_Maven_App_Engine_Plugin,false,cloud,terminal,gcp_Maven_App_Engine_Plugin,icons/GCP Icons/Products and services/Developer Tools/Maven App Engine Plugin.svg,,
Azure,IoT,az_Logic_Apps,false,cloud,terminal,az_Logic_Apps,icons/Azure_Public_Service_Icons/IoT/10201-icon-service-Logic-Apps.svg,,
Azure,Intune,az_Device_Security_Apple,false,cloud,terminal,az_Device_Security_Apple,icons/Azure_Public_Service_Icons/Intune/00399-icon-service-Device-Security-Apple.svg,,
